company_name,lead_name,source,status,territory,email_id,mobile_no
Lead Hospital 083,Waqar Hassan,Cold Call,Replied,Sheikhupura,lead083@hospital.pk,+923495800755
Lead Hospital 084,Arslan Chaudhry,Exhibition,Open,Faisalabad,lead084@hospital.pk,+923157345337
Lead Hospital 085,Asad Rana,Exhibition,Opportunity,Gujranwala,lead085@hospital.pk,+923416475172
Lead Hospital 086,Atif Hussain,Cold Call,Do Not Contact,Rawalpindi,lead086@hospital.pk,+923269914246
Lead Hospital 087,Atif Chaudhry,Cold Call,Open,Sialkot,lead087@hospital.pk,+923355132749
Lead Hospital 088,Amir Mirza,Website,Do Not Contact,Sheikhupura,lead088@hospital.pk,+923118688169
Lead Hospital 089,Adnan Chaudhry,Cold Call,Converted,Bahawalpur,lead089@hospital.pk,+923266037261
Lead Hospital 090,Naeem Hassan,Government Tender,Open,Sargodha,lead090@hospital.pk,+923308558790
Lead Hospital 091,Irfan Dar,Cold Call,Replied,Rawalpindi,lead091@hospital.pk,+923226411870
Lead Hospital 092,Asad Qureshi,Exhibition,Do Not Contact,Sialkot,lead092@hospital.pk,+923445975455
Lead Hospital 093,Arslan Malik,Cold Call,Lead,Sargodha,lead093@hospital.pk,+923352915206
Lead Hospital 094,Irfan Aslam,Exhibition,Lead,Faisalabad,lead094@hospital.pk,+923474994769
Lead Hospital 095,Naveed Ahmed,Cold Call,Opportunity,Sheikhupura,lead095@hospital.pk,+923491503231
Lead Hospital 096,Kashif Khan,Website,Do Not Contact,Faisalabad,lead096@hospital.pk,+923438312608
Lead Hospital 097,Arslan Sheikh,Website,Opportunity,Multan,lead097@hospital.pk,+923437313994
Lead Hospital 098,Saad Raza,Website,Lead,Faisalabad,lead098@hospital.pk,+923234004894
Lead Hospital 099,Adnan Sheikh,Government Tender,Do Not Contact,Bahawalpur,lead099@hospital.pk,+923271476103
Lead Hospital 100,Atif Sheikh,Cold Call,Open,Sheikhupura,lead100@hospital.pk,+923275868405
Lead Hospital 101,Asad Ahmed,Exhibition,Replied,Faisalabad,lead101@hospital.pk,+923311255577
Lead Hospital 102,Amir Raza,Referral,Lead,Lahore,lead102@hospital.pk,+923399858501
Lead Hospital 103,Irfan Ahmed,Exhibition,Open,Gujranwala,lead103@hospital.pk,+923476486715
Lead Hospital 104,Muhammad Dar,Government Tender,Opportunity,Sheikhupura,lead104@hospital.pk,+923239671146
Lead Hospital 105,Ali Mughal,Referral,Converted,Rawalpindi,lead105@hospital.pk,+923107577882
Lead Hospital 106,Tariq Siddiqui,Exhibition,Lead,Multan,lead106@hospital.pk,+923483091601
Lead Hospital 107,Asad Rana,Cold Call,Do Not Contact,Sargodha,lead107@hospital.pk,+923305124159
Lead Hospital 108,Tariq Butt,Government Tender,Open,Gujranwala,lead108@hospital.pk,+923490148420
Lead Hospital 109,Tariq Qureshi,Exhibition,Open,Lahore,lead109@hospital.pk,+923255796157
Lead Hospital 110,Zain Javed,Exhibition,Open,Sialkot,lead110@hospital.pk,+923412943704
Lead Hospital 111,Ali Khan,Exhibition,Open,Sialkot,lead111@hospital.pk,+923472064189
Lead Hospital 112,Kamran Butt,Exhibition,Do Not Contact,Bahawalpur,lead112@hospital.pk,+923495192880
Lead Hospital 113,Ali Hassan,Government Tender,Lead,Lahore,lead113@hospital.pk,+923278704214
Lead Hospital 114,Atif Mughal,Government Tender,Do Not Contact,Sheikhupura,lead114@hospital.pk,+923480945324
Lead Hospital 115,Ahmed Rana,Government Tender,Converted,Bahawalpur,lead115@hospital.pk,+923262407397
Lead Hospital 116,Kamran Mughal,Referral,Converted,Lahore,lead116@hospital.pk,+923411646536
Lead Hospital 117,Hamza Qureshi,Government Tender,Opportunity,Sialkot,lead117@hospital.pk,+923351301149
Lead Hospital 118,Ali Aslam,Government Tender,Opportunity,Faisalabad,lead118@hospital.pk,+923239804412
Lead Hospital 119,Saad Malik,Referral,Opportunity,Gujranwala,lead119@hospital.pk,+923293591467
Lead Hospital 120,Omar Rana,Government Tender,Replied,Sahiwal,lead120@hospital.pk,+923268046135
