employee_name,first_name,last_name,company,department,designation,date_of_birth,date_of_joining,gender,employment_type,status,branch
Bushra Hassan,Bushra,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1984-05-15,2021-02-03,Female,Full-time,Active,Head Office - Lahore
Tahir Siddiqui,Tahir,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1979-12-23,2023-01-07,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Malik,Usman,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1992-04-12,2022-09-02,Male,Full-time,Active,Incinerator Facility - Lahore
Hamza Aslam,Hamza,Aslam,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1975-01-13,2025-08-18,Male,Full-time,Active,Head Office - Lahore
Hassan Chaudhry,Hassan,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1973-03-04,2019-01-27,Male,Full-time,Active,Head Office - Lahore
Usman Hassan,Usman,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1996-07-12,2024-11-21,Male,Full-time,Active,Head Office - Lahore
Sara Mirza,Sara,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1978-02-01,2019-04-21,Female,Full-time,Active,Incinerator Facility - Lahore
Tahir Ahmed,Tahir,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1972-06-04,2019-08-02,Male,Full-time,Active,Head Office - Lahore
Waqas Mirza,Waqas,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1983-12-13,2022-01-13,Male,Full-time,Active,Incinerator Facility - Lahore
Bilal Qureshi,Bilal,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1976-03-09,2021-08-05,Male,Full-time,Active,Head Office - Lahore
Hina Mirza,Hina,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1989-04-21,2021-08-14,Female,Full-time,Active,Incinerator Facility - Lahore
Muhammad Malik,Muhammad,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1978-07-05,2022-04-21,Male,Full-time,Active,Head Office - Lahore
Amina Iqbal,Amina,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1987-01-13,2025-12-12,Female,Full-time,Active,Incinerator Facility - Lahore
Sana Iqbal,Sana,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Driver,1985-06-19,2023-06-13,Female,Full-time,Active,Incinerator Facility - Lahore
Bilal Khan,Bilal,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1980-10-08,2019-05-02,Male,Full-time,Active,Incinerator Facility - Lahore
Ayesha Qureshi,Ayesha,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1994-10-08,2020-02-08,Female,Full-time,Active,Head Office - Lahore
Hamza Rana,Hamza,Rana,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1996-12-02,2025-04-19,Male,Full-time,Active,Incinerator Facility - Lahore
Faisal Shah,Faisal,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1996-03-06,2020-10-11,Male,Full-time,Active,Incinerator Facility - Lahore
Waqas Mirza,Waqas,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1970-12-23,2021-10-19,Male,Full-time,Active,Head Office - Lahore
Sara Hassan,Sara,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Waste Operations,Waste Operations Supervisor,1996-08-18,2021-03-16,Female,Full-time,Active,Head Office - Lahore
Ali Khan,Ali,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1977-10-08,2019-09-16,Male,Full-time,Active,Head Office - Lahore
Saad Shah,Saad,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1989-04-26,2020-06-23,Male,Full-time,Active,Head Office - Lahore
Waqas Iqbal,Waqas,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1997-06-02,2019-03-19,Male,Full-time,Active,Head Office - Lahore
Bushra Malik,Bushra,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1997-09-28,2021-02-12,Female,Full-time,Active,Incinerator Facility - Lahore
Sara Malik,Sara,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1980-05-11,2020-03-24,Female,Full-time,Active,Incinerator Facility - Lahore
Tahir Siddiqui,Tahir,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,2000-08-21,2021-03-23,Male,Full-time,Active,Incinerator Facility - Lahore
Zain Siddiqui,Zain,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1988-03-13,2021-12-23,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Ahmed,Usman,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Operator,1993-01-23,2023-07-28,Male,Full-time,Active,Head Office - Lahore
Bilal Mirza,Bilal,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Supervisor,1980-10-08,2024-10-04,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Qureshi,Usman,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Incinerator Operations,Incinerator Supervisor,1993-02-08,2021-06-06,Male,Full-time,Active,Head Office - Lahore
Naveed Raza,Naveed,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1991-11-24,2021-08-01,Male,Full-time,Active,Incinerator Facility - Lahore
Asad Hassan,Asad,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1992-02-12,2021-02-24,Male,Full-time,Active,Head Office - Lahore
Muhammad Butt,Muhammad,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1984-12-14,2020-07-16,Male,Full-time,Active,Incinerator Facility - Lahore
Faisal Rana,Faisal,Rana,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1982-02-27,2022-10-21,Male,Full-time,Active,Head Office - Lahore
Bilal Chaudhry,Bilal,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1972-01-10,2019-06-09,Male,Full-time,Active,Head Office - Lahore
Ali Qureshi,Ali,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Biomedical Engineer,1975-07-06,2024-02-18,Male,Full-time,Active,Head Office - Lahore
Saad Mirza,Saad,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1989-08-23,2019-07-21,Male,Full-time,Active,Head Office - Lahore
Hina Shah,Hina,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1983-03-02,2019-06-07,Female,Full-time,Active,Head Office - Lahore
Imran Raza,Imran,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1987-12-24,2023-05-22,Male,Full-time,Active,Incinerator Facility - Lahore
Omar Hassan,Omar,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1973-01-13,2023-09-27,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Khan,Usman,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1981-01-14,2019-05-27,Male,Full-time,Active,Incinerator Facility - Lahore
Asad Malik,Asad,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1970-04-06,2024-05-03,Male,Full-time,Active,Incinerator Facility - Lahore
Shakeel Malik,Shakeel,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1979-07-16,2022-11-09,Male,Full-time,Active,Head Office - Lahore
Amina Rana,Amina,Rana,EnXi Biomedical & Waste Management (Pvt) Ltd,Biomedical Services,Service Technician,1982-03-12,2022-06-06,Female,Full-time,Active,Incinerator Facility - Lahore
Muhammad Sheikh,Muhammad,Sheikh,EnXi Biomedical & Waste Management (Pvt) Ltd,Maintenance & Repair,Maintenance Technician,1984-08-09,2020-05-19,Male,Full-time,Active,Head Office - Lahore
Usman Iqbal,Usman,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Maintenance & Repair,Maintenance Technician,1992-11-04,2019-11-12,Male,Full-time,Active,Incinerator Facility - Lahore
Bushra Mirza,Bushra,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Maintenance & Repair,Maintenance Technician,1977-09-02,2025-07-27,Female,Full-time,Active,Incinerator Facility - Lahore
Sana Siddiqui,Sana,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Maintenance & Repair,Maintenance Technician,1997-08-19,2020-08-10,Female,Full-time,Active,Head Office - Lahore
Kashif Shah,Kashif,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Maintenance & Repair,Maintenance Technician,1997-12-02,2023-10-17,Male,Full-time,Active,Head Office - Lahore
Hassan Iqbal,Hassan,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Sales Executive,1984-03-06,2020-04-05,Male,Full-time,Active,Head Office - Lahore
Imran Malik,Imran,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Sales Executive,1991-07-07,2025-11-05,Male,Full-time,Active,Incinerator Facility - Lahore
Saad Shah,Saad,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Sales Executive,1993-02-03,2022-09-13,Male,Full-time,Active,Incinerator Facility - Lahore
Shakeel Sheikh,Shakeel,Sheikh,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Sales Executive,1986-08-28,2019-12-20,Male,Full-time,Active,Incinerator Facility - Lahore
Hassan Butt,Hassan,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Sales Executive,1974-03-19,2023-10-25,Male,Full-time,Active,Head Office - Lahore
Waqas Malik,Waqas,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Account Manager,1988-02-26,2021-09-12,Male,Full-time,Active,Incinerator Facility - Lahore
Hamza Butt,Hamza,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Account Manager,1990-08-19,2023-08-02,Male,Full-time,Active,Head Office - Lahore
Hamza Butt,Hamza,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Sales & Business Development,Account Manager,1974-10-20,2024-12-13,Male,Full-time,Active,Head Office - Lahore
Kashif Shah,Kashif,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Compliance & Environment,Compliance Officer,1998-06-23,2020-01-24,Male,Full-time,Active,Incinerator Facility - Lahore
Waqas Sheikh,Waqas,Sheikh,EnXi Biomedical & Waste Management (Pvt) Ltd,Compliance & Environment,Compliance Officer,1998-06-01,2021-05-10,Male,Full-time,Active,Incinerator Facility - Lahore
Naveed Chaudhry,Naveed,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Compliance & Environment,Compliance Officer,1997-12-22,2019-04-05,Male,Full-time,Active,Incinerator Facility - Lahore
Sadia Chaudhry,Sadia,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Compliance & Environment,Environmental Analyst,1994-06-09,2024-07-20,Female,Full-time,Active,Head Office - Lahore
Asad Chaudhry,Asad,Chaudhry,EnXi Biomedical & Waste Management (Pvt) Ltd,Compliance & Environment,Environmental Analyst,1976-07-24,2022-09-28,Male,Full-time,Active,Incinerator Facility - Lahore
Naveed Khan,Naveed,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Training & Development,Training Coordinator,1986-03-03,2021-12-17,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Iqbal,Usman,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Training & Development,Training Coordinator,1997-09-19,2019-03-07,Male,Full-time,Active,Head Office - Lahore
Naveed Khan,Naveed,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Quality Assurance,Quality Inspector,1977-01-15,2019-06-23,Male,Full-time,Active,Head Office - Lahore
Hamza Qureshi,Hamza,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Quality Assurance,Quality Inspector,1996-08-17,2022-11-04,Male,Full-time,Active,Head Office - Lahore
Zain Qureshi,Zain,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Quality Assurance,Quality Inspector,1985-10-15,2020-08-19,Male,Full-time,Active,Incinerator Facility - Lahore
Faisal Ahmed,Faisal,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Finance & Accounts,Accountant,1996-05-24,2025-12-03,Male,Full-time,Active,Incinerator Facility - Lahore
Ahmed Butt,Ahmed,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Finance & Accounts,Accountant,1971-03-28,2023-04-28,Male,Full-time,Active,Head Office - Lahore
Amina Hassan,Amina,Hassan,EnXi Biomedical & Waste Management (Pvt) Ltd,Finance & Accounts,Accountant,1991-04-09,2024-07-17,Female,Full-time,Active,Head Office - Lahore
Shakeel Iqbal,Shakeel,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Finance & Accounts,Accountant,2000-11-01,2022-03-21,Male,Full-time,Active,Head Office - Lahore
Hina Iqbal,Hina,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Human Resources,HR Executive,1970-04-09,2023-05-23,Female,Full-time,Active,Incinerator Facility - Lahore
Imran Shah,Imran,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Human Resources,HR Executive,1982-06-15,2021-04-15,Male,Full-time,Active,Incinerator Facility - Lahore
Rabia Rana,Rabia,Rana,EnXi Biomedical & Waste Management (Pvt) Ltd,Procurement,Procurement Manager,1996-10-13,2023-02-01,Female,Full-time,Active,Incinerator Facility - Lahore
Sana Siddiqui,Sana,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Procurement,Procurement Manager,1989-10-10,2021-11-04,Female,Full-time,Active,Incinerator Facility - Lahore
Ali Qureshi,Ali,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,IT & Systems,IT Support,1978-11-11,2025-05-09,Male,Full-time,Active,Incinerator Facility - Lahore
Asad Ahmed,Asad,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,IT & Systems,IT Support,1986-04-02,2025-10-13,Male,Full-time,Active,Incinerator Facility - Lahore
Rabia Ahmed,Rabia,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Administration,General Manager,1993-01-21,2022-05-09,Female,Full-time,Active,Incinerator Facility - Lahore
Kashif Butt,Kashif,Butt,EnXi Biomedical & Waste Management (Pvt) Ltd,Administration,General Manager,1993-01-19,2024-10-27,Male,Full-time,Active,Head Office - Lahore
Saad Raza,Saad,Raza,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Logistics Coordinator,1992-04-22,2023-11-26,Male,Full-time,Active,Incinerator Facility - Lahore
Waqas Siddiqui,Waqas,Siddiqui,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Logistics Coordinator,1981-09-10,2025-03-27,Male,Full-time,Active,Head Office - Lahore
Omar Malik,Omar,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Logistics Coordinator,1985-03-24,2021-12-26,Male,Full-time,Active,Head Office - Lahore
Rabia Shah,Rabia,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1980-11-03,2020-06-08,Female,Full-time,Active,Incinerator Facility - Lahore
Imran Iqbal,Imran,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1998-06-12,2021-10-10,Male,Full-time,Active,Incinerator Facility - Lahore
Shakeel Malik,Shakeel,Malik,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1985-01-28,2024-10-19,Male,Full-time,Active,Head Office - Lahore
Fatima Shah,Fatima,Shah,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1976-09-04,2025-11-13,Female,Full-time,Active,Incinerator Facility - Lahore
Imran Khan,Imran,Khan,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1997-03-05,2020-06-14,Male,Full-time,Active,Incinerator Facility - Lahore
Usman Qureshi,Usman,Qureshi,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1997-12-06,2025-02-16,Male,Full-time,Active,Incinerator Facility - Lahore
Amina Ahmed,Amina,Ahmed,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1980-11-02,2019-08-09,Female,Full-time,Active,Head Office - Lahore
Bushra Iqbal,Bushra,Iqbal,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1975-10-25,2020-08-26,Female,Full-time,Active,Head Office - Lahore
Usman Mirza,Usman,Mirza,EnXi Biomedical & Waste Management (Pvt) Ltd,Fleet & Transport,Helper,1983-11-14,2022-07-16,Male,Full-time,Active,Incinerator Facility - Lahore
