parent,parenttype,parentfield,customer,address,visited,distance,estimated_arrival
DT-DEMO-000009,Delivery Trip,delivery_stops,Jinnah Tertiary Hospital 15,ADDR-0029,1,23.4,2023-03-07 08:00:00
DT-DEMO-000009,Delivery Trip,delivery_stops,Noor District Hospital 68,ADDR-0135,1,5.0,2023-03-07 08:30:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Noor Specialized Hospital 51,ADDR-0101,1,5.9,2023-03-07 07:30:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Sir Ganga Ram General Hospital 54,ADDR-0107,1,20.0,2023-03-07 08:00:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Shaukat Khanum District Hospital 45,ADDR-0089,1,6.6,2023-03-07 08:30:00
DT-DEMO-000010,Delivery Trip,delivery_stops,City Care Tertiary Hospital 02,ADDR-0003,1,13.9,2023-03-07 09:00:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Shalimar District Hospital 52,ADDR-0103,1,2.4,2023-03-07 09:30:00
DT-DEMO-000010,Delivery Trip,delivery_stops,IDC Lab 103,ADDR-0183,1,7.5,2023-03-07 10:00:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Doctors Teaching Hospital 36,ADDR-0071,0,22.6,2023-03-07 10:30:00
DT-DEMO-000010,Delivery Trip,delivery_stops,Services Specialized Hospital 04,ADDR-0007,1,20.9,2023-03-07 11:00:00
DT-DEMO-000011,Delivery Trip,delivery_stops,Specialized Healthcare & Medical Education,ADDR-0208,1,22.0,2023-03-10 10:30:00
DT-DEMO-000011,Delivery Trip,delivery_stops,Services Specialized Hospital 04,ADDR-0007,1,18.6,2023-03-10 11:00:00
DT-DEMO-000011,Delivery Trip,delivery_stops,Lahore General Tertiary Hospital 27,ADDR-0053,1,2.7,2023-03-10 11:30:00
DT-DEMO-000011,Delivery Trip,delivery_stops,Allied Lab 114,ADDR-0194,1,18.6,2023-03-10 12:00:00
DT-DEMO-000011,Delivery Trip,delivery_stops,Services Specialized Hospital 04,ADDR-0007,1,21.2,2023-03-10 12:30:00
DT-DEMO-000012,Delivery Trip,delivery_stops,Ghurki Trust Private Hospital 79,ADDR-0157,1,24.7,2023-03-10 08:30:00
DT-DEMO-000012,Delivery Trip,delivery_stops,Noor Specialized Hospital 51,ADDR-0101,1,17.0,2023-03-10 09:00:00
DT-DEMO-000012,Delivery Trip,delivery_stops,Shaukat Khanum Specialized Hospital 63,ADDR-0125,1,19.9,2023-03-10 09:30:00
DT-DEMO-000012,Delivery Trip,delivery_stops,Services Specialized Hospital 77,ADDR-0153,1,2.9,2023-03-10 10:00:00
DT-DEMO-000012,Delivery Trip,delivery_stops,National District Hospital 18,ADDR-0035,1,13.7,2023-03-10 10:30:00
DT-DEMO-000012,Delivery Trip,delivery_stops,Ghurki Trust Tertiary Hospital 12,ADDR-0023,1,19.1,2023-03-10 11:00:00
DT-DEMO-000012,Delivery Trip,delivery_stops,IDC Lab 103,ADDR-0183,1,6.7,2023-03-10 11:30:00
DT-DEMO-000013,Delivery Trip,delivery_stops,Lady Willingdon Tertiary Hospital 06,ADDR-0011,1,7.1,2023-03-10 06:30:00
DT-DEMO-000013,Delivery Trip,delivery_stops,Dr. Essa Lab,ADDR-0176,1,23.7,2023-03-10 07:00:00
DT-DEMO-000013,Delivery Trip,delivery_stops,Doctors Private Hospital 29,ADDR-0057,1,20.4,2023-03-10 07:30:00
DT-DEMO-000013,Delivery Trip,delivery_stops,Punjab Environmental Protection Agency,ADDR-0203,1,22.7,2023-03-10 08:00:00
DT-DEMO-000013,Delivery Trip,delivery_stops,LifeLine Teaching Hospital 74,ADDR-0147,0,10.1,2023-03-10 08:30:00
DT-DEMO-000013,Delivery Trip,delivery_stops,Dr. Essa Lab 116,ADDR-0196,1,7.4,2023-03-10 09:00:00
DT-DEMO-000014,Delivery Trip,delivery_stops,Lahore General District Hospital 69,ADDR-0137,1,4.9,2023-03-10 06:30:00
DT-DEMO-000014,Delivery Trip,delivery_stops,Health First Clinic 111,ADDR-0191,1,2.1,2023-03-10 07:00:00
DT-DEMO-000014,Delivery Trip,delivery_stops,Punjab Diagnostic Center 113,ADDR-0193,1,6.3,2023-03-10 07:30:00
DT-DEMO-000014,Delivery Trip,delivery_stops,Services Teaching Hospital 33,ADDR-0065,1,16.2,2023-03-10 08:00:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Central Tertiary Hospital 07,ADDR-0013,1,15.9,2023-03-11 06:30:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Services Specialized Hospital 04,ADDR-0007,1,18.5,2023-03-11 07:00:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Islamabad Diagnostics,ADDR-0165,1,22.6,2023-03-11 07:30:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Mayo District Hospital 01,ADDR-0001,1,15.1,2023-03-11 08:00:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Noor District Hospital 68,ADDR-0135,0,15.2,2023-03-11 08:30:00
DT-DEMO-000015,Delivery Trip,delivery_stops,Lahore Diagnostics 106,ADDR-0186,1,12.8,2023-03-11 09:00:00
DT-DEMO-000016,Delivery Trip,delivery_stops,Health First Clinic,ADDR-0171,1,17.5,2023-03-11 09:30:00
DT-DEMO-000016,Delivery Trip,delivery_stops,Prime Tertiary Hospital 24,ADDR-0047,1,12.2,2023-03-11 10:00:00
DT-DEMO-000016,Delivery Trip,delivery_stops,Sir Ganga Ram General Hospital 54,ADDR-0107,1,2.9,2023-03-11 10:30:00
DT-DEMO-000016,Delivery Trip,delivery_stops,Punjab Specialized Hospital 42,ADDR-0083,1,5.3,2023-03-11 11:00:00
DT-DEMO-000016,Delivery Trip,delivery_stops,Sir Ganga Ram Tertiary Hospital 75,ADDR-0149,1,18.6,2023-03-11 11:30:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Central District Hospital 53,ADDR-0105,1,4.1,2023-03-13 05:30:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Shaukat Khanum Specialized Hospital 63,ADDR-0125,1,7.3,2023-03-13 06:00:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Mayo Specialized Hospital 10,ADDR-0019,1,16.9,2023-03-13 06:30:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Sir Ganga Ram Tertiary Hospital 75,ADDR-0149,1,5.8,2023-03-13 07:00:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Islamabad Diagnostics,ADDR-0165,1,6.4,2023-03-13 07:30:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Fatima Memorial Private Hospital 34,ADDR-0067,1,17.7,2023-03-13 08:00:00
DT-DEMO-000017,Delivery Trip,delivery_stops,City Lab,ADDR-0167,1,13.3,2023-03-13 08:30:00
DT-DEMO-000017,Delivery Trip,delivery_stops,Shalimar General Hospital 47,ADDR-0093,1,2.6,2023-03-13 09:00:00
DT-DEMO-000018,Delivery Trip,delivery_stops,Shaukat Khanum District Hospital 45,ADDR-0089,1,11.0,2023-03-14 08:30:00
DT-DEMO-000018,Delivery Trip,delivery_stops,Children District Hospital 55,ADDR-0109,1,24.7,2023-03-14 09:00:00
DT-DEMO-000018,Delivery Trip,delivery_stops,City Care Tertiary Hospital 02,ADDR-0003,1,5.7,2023-03-14 09:30:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Punjab Environmental Protection Agency,ADDR-0203,1,7.3,2023-03-14 10:30:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Shaukat Khanum Specialized Hospital 63,ADDR-0125,1,7.2,2023-03-14 11:00:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Health First Clinic,ADDR-0171,1,5.0,2023-03-14 11:30:00
DT-DEMO-000019,Delivery Trip,delivery_stops,District Health Authority Lahore,ADDR-0205,1,2.3,2023-03-14 12:00:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Punjab Medical Faculty,ADDR-0206,1,7.3,2023-03-14 12:30:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Ghurki Trust Specialized Hospital 48,ADDR-0095,1,12.5,2023-03-14 13:00:00
DT-DEMO-000019,Delivery Trip,delivery_stops,Shaukat Khanum Specialized Hospital 63,ADDR-0125,1,22.8,2023-03-14 13:30:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Surgimed District Hospital 23,ADDR-0045,1,15.3,2023-03-14 08:30:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Sharif Medical Tertiary Hospital 71,ADDR-0141,1,2.2,2023-03-14 09:00:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Specialized Healthcare & Medical Education,ADDR-0208,1,11.0,2023-03-14 09:30:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Children Teaching Hospital 80,ADDR-0159,1,9.1,2023-03-14 10:00:00
DT-DEMO-000020,Delivery Trip,delivery_stops,National District Hospital 18,ADDR-0035,1,2.7,2023-03-14 10:30:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Ghurki Trust Private Hospital 61,ADDR-0121,1,14.9,2023-03-14 11:00:00
DT-DEMO-000020,Delivery Trip,delivery_stops,Children Teaching Hospital 80,ADDR-0159,1,16.1,2023-03-14 11:30:00
DT-DEMO-000021,Delivery Trip,delivery_stops,Doctors Tertiary Hospital 66,ADDR-0131,1,19.3,2023-03-14 06:30:00
DT-DEMO-000021,Delivery Trip,delivery_stops,Doctors General Hospital 73,ADDR-0145,1,14.3,2023-03-14 07:00:00
DT-DEMO-000021,Delivery Trip,delivery_stops,Punjab AIDS Control Program,ADDR-0210,1,17.5,2023-03-14 07:30:00
DT-DEMO-000022,Delivery Trip,delivery_stops,Sheikh Zayed General Hospital 39,ADDR-0077,1,19.5,2023-03-15 09:30:00
DT-DEMO-000022,Delivery Trip,delivery_stops,Gulab Devi Tertiary Hospital 13,ADDR-0025,1,16.8,2023-03-15 10:00:00
DT-DEMO-000022,Delivery Trip,delivery_stops,Excel Labs 104,ADDR-0184,1,14.7,2023-03-15 10:30:00
DT-DEMO-000022,Delivery Trip,delivery_stops,Punjab Diagnostic Center,ADDR-0173,1,21.8,2023-03-15 11:00:00
DT-DEMO-000022,Delivery Trip,delivery_stops,Agha Khan Lab Lahore,ADDR-0175,1,21.7,2023-03-15 11:30:00
DT-DEMO-000023,Delivery Trip,delivery_stops,Doctors Teaching Hospital 35,ADDR-0069,0,13.9,2023-03-16 07:30:00
DT-DEMO-000023,Delivery Trip,delivery_stops,Services Specialized Hospital 04,ADDR-0007,1,10.4,2023-03-16 08:00:00
DT-DEMO-000023,Delivery Trip,delivery_stops,LifeLine General Hospital 11,ADDR-0021,1,14.6,2023-03-16 08:30:00
DT-DEMO-000023,Delivery Trip,delivery_stops,Shaukat Khanum Teaching Hospital 72,ADDR-0143,1,7.3,2023-03-16 09:00:00
DT-DEMO-000024,Delivery Trip,delivery_stops,National District Hospital 18,ADDR-0035,1,14.4,2023-03-16 07:30:00
DT-DEMO-000024,Delivery Trip,delivery_stops,Ghurki Trust Tertiary Hospital 12,ADDR-0023,1,14.7,2023-03-16 08:00:00
DT-DEMO-000024,Delivery Trip,delivery_stops,Punjab General Hospital 59,ADDR-0117,1,11.0,2023-03-16 08:30:00
DT-DEMO-000024,Delivery Trip,delivery_stops,Saleem Lab,ADDR-0179,1,5.3,2023-03-16 09:00:00
DT-DEMO-000025,Delivery Trip,delivery_stops,Lahore Diagnostics,ADDR-0166,1,4.8,2023-03-17 10:30:00
DT-DEMO-000025,Delivery Trip,delivery_stops,Punjab Medical Faculty,ADDR-0206,1,5.0,2023-03-17 11:00:00
DT-DEMO-000025,Delivery Trip,delivery_stops,Punjab General Hospital 59,ADDR-0117,1,9.9,2023-03-17 11:30:00
DT-DEMO-000025,Delivery Trip,delivery_stops,Gulab Devi Specialized Hospital 22,ADDR-0043,0,5.0,2023-03-17 12:00:00
DT-DEMO-000025,Delivery Trip,delivery_stops,Shaukat Khanum Teaching Hospital 72,ADDR-0143,0,14.6,2023-03-17 12:30:00
DT-DEMO-000025,Delivery Trip,delivery_stops,One Health Lab 117,ADDR-0197,0,17.7,2023-03-17 13:00:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Noor District Hospital 68,ADDR-0135,0,23.2,2023-03-17 08:30:00
DT-DEMO-000026,Delivery Trip,delivery_stops,One Health Lab,ADDR-0177,1,7.1,2023-03-17 09:00:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Surgimed General Hospital 58,ADDR-0115,1,11.6,2023-03-17 09:30:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Punjab Emergency Service (Rescue 1122),ADDR-0209,1,8.7,2023-03-17 10:00:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Mayo District Hospital 01,ADDR-0001,1,18.0,2023-03-17 10:30:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Ghurki Trust Private Hospital 79,ADDR-0157,1,19.0,2023-03-17 11:00:00
DT-DEMO-000026,Delivery Trip,delivery_stops,Services District Hospital 41,ADDR-0081,1,5.5,2023-03-17 11:30:00
DT-DEMO-000027,Delivery Trip,delivery_stops,Agha Khan Lab Lahore 115,ADDR-0195,1,4.5,2023-03-18 09:30:00
DT-DEMO-000027,Delivery Trip,delivery_stops,Medicare Clinic 110,ADDR-0190,0,13.7,2023-03-18 10:00:00
DT-DEMO-000027,Delivery Trip,delivery_stops,Sir Ganga Ram General Hospital 38,ADDR-0075,1,5.3,2023-03-18 10:30:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Mayo Teaching Hospital 05,ADDR-0009,1,14.5,2023-03-19 07:30:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Hameed Latif District Hospital 26,ADDR-0051,1,8.9,2023-03-19 08:00:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Children Teaching Hospital 80,ADDR-0159,1,23.6,2023-03-19 08:30:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Islamabad Diagnostics,ADDR-0165,1,18.1,2023-03-19 09:00:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Shalimar General Hospital 47,ADDR-0093,1,18.5,2023-03-19 09:30:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Punjab Tertiary Hospital 37,ADDR-0073,1,24.8,2023-03-19 10:00:00
DT-DEMO-000028,Delivery Trip,delivery_stops,Shalimar District Hospital 16,ADDR-0031,1,16.3,2023-03-19 10:30:00
DT-DEMO-000029,Delivery Trip,delivery_stops,Services District Hospital 41,ADDR-0081,1,16.4,2023-03-19 06:30:00
DT-DEMO-000029,Delivery Trip,delivery_stops,Punjab Tertiary Hospital 37,ADDR-0073,1,14.8,2023-03-19 07:00:00
DT-DEMO-000029,Delivery Trip,delivery_stops,Health First Clinic 111,ADDR-0191,1,21.6,2023-03-19 07:30:00
DT-DEMO-000029,Delivery Trip,delivery_stops,Children District Hospital 55,ADDR-0109,1,17.2,2023-03-19 08:00:00
DT-DEMO-000029,Delivery Trip,delivery_stops,Islamabad Diagnostics 105,ADDR-0185,1,11.9,2023-03-19 08:30:00
DT-DEMO-000029,Delivery Trip,delivery_stops,One Health Lab 117,ADDR-0197,1,10.5,2023-03-19 09:00:00
DT-DEMO-000030,Delivery Trip,delivery_stops,Dr. Essa Lab 116,ADDR-0196,1,20.9,2023-03-19 07:30:00
DT-DEMO-000030,Delivery Trip,delivery_stops,Medicare Clinic,ADDR-0170,1,18.6,2023-03-19 08:00:00
DT-DEMO-000030,Delivery Trip,delivery_stops,Doctors Private Hospital 29,ADDR-0057,1,22.9,2023-03-19 08:30:00
DT-DEMO-000030,Delivery Trip,delivery_stops,Primary & Secondary Healthcare Dept,ADDR-0204,1,8.5,2023-03-19 09:00:00
DT-DEMO-000031,Delivery Trip,delivery_stops,Health First Clinic 111,ADDR-0191,1,13.0,2023-03-19 09:30:00
DT-DEMO-000031,Delivery Trip,delivery_stops,One Health Lab 117,ADDR-0197,1,12.2,2023-03-19 10:00:00
DT-DEMO-000031,Delivery Trip,delivery_stops,Lahore Diagnostics 106,ADDR-0186,1,12.2,2023-03-19 10:30:00
DT-DEMO-000032,Delivery Trip,delivery_stops,Lady Willingdon Tertiary Hospital 60,ADDR-0119,1,9.7,2023-03-19 06:30:00
DT-DEMO-000032,Delivery Trip,delivery_stops,Chughtai Tertiary Hospital 57,ADDR-0113,1,3.1,2023-03-19 07:00:00
DT-DEMO-000032,Delivery Trip,delivery_stops,Chughtai Lab 101,ADDR-0181,1,18.1,2023-03-19 07:30:00
DT-DEMO-000033,Delivery Trip,delivery_stops,Sir Ganga Ram District Hospital 08,ADDR-0015,1,16.5,2023-03-19 10:30:00
DT-DEMO-000033,Delivery Trip,delivery_stops,IDC Lab,ADDR-0163,1,11.4,2023-03-19 11:00:00
DT-DEMO-000033,Delivery Trip,delivery_stops,Shaukat Khanum Teaching Hospital 72,ADDR-0143,1,7.7,2023-03-19 11:30:00
DT-DEMO-000033,Delivery Trip,delivery_stops,Punjab Tertiary Hospital 37,ADDR-0073,1,15.8,2023-03-19 12:00:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Ittefaq District Hospital 19,ADDR-0037,1,17.7,2023-03-19 10:30:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Farooq General Hospital 70,ADDR-0139,1,20.7,2023-03-19 11:00:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Sir Ganga Ram General Hospital 38,ADDR-0075,1,21.7,2023-03-19 11:30:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Metro Diagnostics,ADDR-0168,1,17.8,2023-03-19 12:00:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Ghurki Trust Specialized Hospital 31,ADDR-0061,1,9.0,2023-03-19 12:30:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Sir Ganga Ram General Hospital 38,ADDR-0075,1,3.3,2023-03-19 13:00:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Rehman Diagnostics,ADDR-0178,0,15.9,2023-03-19 13:30:00
DT-DEMO-000034,Delivery Trip,delivery_stops,Services Teaching Hospital 33,ADDR-0065,0,10.0,2023-03-19 14:00:00
DT-DEMO-000035,Delivery Trip,delivery_stops,Doctors Tertiary Hospital 78,ADDR-0155,1,16.3,2023-03-20 05:30:00
DT-DEMO-000035,Delivery Trip,delivery_stops,Doctors Teaching Hospital 36,ADDR-0071,1,14.5,2023-03-20 06:00:00
DT-DEMO-000035,Delivery Trip,delivery_stops,Doctors General Hospital 73,ADDR-0145,1,5.5,2023-03-20 06:30:00
DT-DEMO-000035,Delivery Trip,delivery_stops,LifeLine Tertiary Hospital 64,ADDR-0127,1,21.8,2023-03-20 07:00:00
DT-DEMO-000035,Delivery Trip,delivery_stops,Doctors Teaching Hospital 35,ADDR-0069,1,11.6,2023-03-20 07:30:00
DT-DEMO-000036,Delivery Trip,delivery_stops,Punjab Environmental Protection Agency,ADDR-0203,1,5.3,2023-03-20 08:30:00
DT-DEMO-000036,Delivery Trip,delivery_stops,Shaukat Khanum Lab 102,ADDR-0182,0,4.5,2023-03-20 09:00:00
DT-DEMO-000036,Delivery Trip,delivery_stops,Ghurki Trust Tertiary Hospital 12,ADDR-0023,1,22.0,2023-03-20 09:30:00
DT-DEMO-000036,Delivery Trip,delivery_stops,Children Teaching Hospital 80,ADDR-0159,1,7.2,2023-03-20 10:00:00
DT-DEMO-000036,Delivery Trip,delivery_stops,National District Hospital 18,ADDR-0035,0,23.9,2023-03-20 10:30:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Lahore General Tertiary Hospital 27,ADDR-0053,1,2.8,2023-03-20 08:30:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Punjab Specialized Hospital 42,ADDR-0083,1,21.8,2023-03-20 09:00:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Chughtai Lab 101,ADDR-0181,1,2.6,2023-03-20 09:30:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Services District Hospital 41,ADDR-0081,1,21.6,2023-03-20 10:00:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Primary & Secondary Healthcare Dept,ADDR-0204,1,2.9,2023-03-20 10:30:00
DT-DEMO-000037,Delivery Trip,delivery_stops,LifeLine Teaching Hospital 74,ADDR-0147,1,5.6,2023-03-20 11:00:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Fatima Memorial Tertiary Hospital 09,ADDR-0017,1,15.2,2023-03-20 11:30:00
DT-DEMO-000037,Delivery Trip,delivery_stops,Noor Specialized Hospital 51,ADDR-0101,0,10.1,2023-03-20 12:00:00
DT-DEMO-000038,Delivery Trip,delivery_stops,Jinnah Tertiary Hospital 32,ADDR-0063,1,14.0,2023-03-20 05:30:00
DT-DEMO-000038,Delivery Trip,delivery_stops,City Lab 107,ADDR-0187,1,9.9,2023-03-20 06:00:00
DT-DEMO-000038,Delivery Trip,delivery_stops,IDC Lab 103,ADDR-0183,1,4.1,2023-03-20 06:30:00
DT-DEMO-000038,Delivery Trip,delivery_stops,Islamabad Diagnostics 105,ADDR-0185,1,14.8,2023-03-20 07:00:00
DT-DEMO-000038,Delivery Trip,delivery_stops,IDC Lab 103,ADDR-0183,1,17.4,2023-03-20 07:30:00
DT-DEMO-000038,Delivery Trip,delivery_stops,City Lab,ADDR-0167,1,8.5,2023-03-20 08:00:00
DT-DEMO-000039,Delivery Trip,delivery_stops,City Lab 107,ADDR-0187,0,5.7,2023-03-20 07:30:00
DT-DEMO-000039,Delivery Trip,delivery_stops,Medicare Clinic,ADDR-0170,1,24.9,2023-03-20 08:00:00
DT-DEMO-000039,Delivery Trip,delivery_stops,District Health Authority Lahore,ADDR-0205,1,15.9,2023-03-20 08:30:00
DT-DEMO-000040,Delivery Trip,delivery_stops,City Care Tertiary Hospital 20,ADDR-0039,1,3.7,2023-03-20 09:30:00
DT-DEMO-000040,Delivery Trip,delivery_stops,Shalimar District Hospital 52,ADDR-0103,1,11.4,2023-03-20 10:00:00
DT-DEMO-000040,Delivery Trip,delivery_stops,Medicare Clinic,ADDR-0170,1,6.4,2023-03-20 10:30:00
DT-DEMO-000040,Delivery Trip,delivery_stops,Ghurki Trust Specialized Hospital 31,ADDR-0061,1,23.8,2023-03-20 11:00:00
DT-DEMO-000040,Delivery Trip,delivery_stops,Prime Tertiary Hospital 24,ADDR-0047,1,17.8,2023-03-20 11:30:00
DT-DEMO-000040,Delivery Trip,delivery_stops,Punjab Medical Faculty,ADDR-0206,1,12.0,2023-03-20 12:00:00
DT-DEMO-000041,Delivery Trip,delivery_stops,Central District Hospital 53,ADDR-0105,1,15.1,2023-03-20 07:30:00
DT-DEMO-000041,Delivery Trip,delivery_stops,Lady Willingdon Tertiary Hospital 06,ADDR-0011,1,15.3,2023-03-20 08:00:00
