name,naming_series,company,vehicle,driver,departure_time,status
DT-DEMO-000052,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-4245-DD,Fahad Chaudhry,2023-03-23 09:00:00,Completed
DT-DEMO-000053,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-9784-EA,Sana Mirza,2023-03-23 06:00:00,Completed
DT-DEMO-000054,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-9269-AB,Naeem Rana,2023-03-24 09:00:00,In Transit
DT-DEMO-000055,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Farah Malik,2023-03-24 07:00:00,Completed
DT-DEMO-000056,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1107-BE,Farah Malik,2023-03-24 06:00:00,In Transit
DT-DEMO-000057,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8808-BE,Waqar Javed,2023-03-25 06:00:00,In Transit
DT-DEMO-000058,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2083-BD,Amir Javed,2023-03-25 07:00:00,Completed
DT-DEMO-000059,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Sadia Ahmed,2023-03-25 10:00:00,Scheduled
DT-DEMO-000060,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Alina Hassan,2023-03-26 05:00:00,In Transit
DT-DEMO-000061,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9582-BD,Naeem Rana,2023-03-26 05:00:00,Completed
DT-DEMO-000062,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9582-BD,Sana Ahmed,2023-03-26 05:00:00,In Transit
DT-DEMO-000063,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2111-EE,Muhammad Dar,2023-03-27 06:00:00,Completed
DT-DEMO-000064,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-7266-AC,Amir Dar,2023-03-27 08:00:00,Completed
DT-DEMO-000065,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-3727-DC,Waqar Javed,2023-03-27 07:00:00,Completed
DT-DEMO-000066,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-5043-DD,Muhammad Dar,2023-03-27 07:00:00,Completed
DT-DEMO-000067,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-3727-DC,Irfan Khan,2023-03-27 05:00:00,In Transit
DT-DEMO-000068,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-1735-BB,Bilal Sharif,2023-03-27 06:00:00,Completed
DT-DEMO-000069,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3502-DC,Farah Malik,2023-03-28 06:00:00,Scheduled
DT-DEMO-000070,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9231-BB,Waqar Javed,2023-03-29 08:00:00,Scheduled
DT-DEMO-000071,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4553-ED,Samina Rana,2023-03-29 07:00:00,Completed
DT-DEMO-000072,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2083-BD,Rabia Gill,2023-03-29 05:00:00,Scheduled
DT-DEMO-000073,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7776-DC,Zara Dar,2023-03-30 06:00:00,Completed
DT-DEMO-000074,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-4783-EB,Saima Mirza,2023-04-02 07:00:00,Completed
DT-DEMO-000075,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-3315-AD,Bushra Butt,2023-04-02 10:00:00,Scheduled
DT-DEMO-000076,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1312-CD,Usman Hassan,2023-04-02 05:00:00,Completed
DT-DEMO-000077,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3270-EE,Ali Mirza,2023-04-03 06:00:00,Completed
DT-DEMO-000078,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2083-BD,Rabia Gill,2023-04-03 06:00:00,Completed
DT-DEMO-000079,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3799-CE,Salman Qureshi,2023-04-03 05:00:00,Scheduled
DT-DEMO-000080,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7348-DD,Amir Javed,2023-04-03 06:00:00,Scheduled
DT-DEMO-000081,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Saima Malik,2023-04-03 08:00:00,Completed
DT-DEMO-000082,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Fahad Chaudhry,2023-04-04 07:00:00,Completed
DT-DEMO-000083,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-3315-AD,Naeem Rana,2023-04-05 07:00:00,In Transit
DT-DEMO-000084,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9582-DE,Sana Ahmed,2023-04-05 05:00:00,In Transit
DT-DEMO-000085,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8617-AA,Amir Dar,2023-04-06 06:00:00,Completed
DT-DEMO-000086,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3790-AC,Sana Mirza,2023-04-07 07:00:00,In Transit
DT-DEMO-000087,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9582-DE,Adnan Chaudhry,2023-04-08 07:00:00,Completed
DT-DEMO-000088,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-3024-AA,Waqar Javed,2023-04-08 10:00:00,In Transit
DT-DEMO-000089,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9212-CA,Fahad Chaudhry,2023-04-09 09:00:00,Scheduled
DT-DEMO-000090,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9582-BD,Farah Khan,2023-04-09 05:00:00,Completed
DT-DEMO-000091,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1352-AB,Farah Malik,2023-04-09 10:00:00,Scheduled
DT-DEMO-000092,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-4783-EB,Adnan Chaudhry,2023-04-09 10:00:00,In Transit
DT-DEMO-000093,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Bushra Butt,2023-04-10 10:00:00,Completed
DT-DEMO-000094,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Kashif Malik,2023-04-10 06:00:00,In Transit
DT-DEMO-000095,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-7775-CD,Sadia Ahmed,2023-04-10 07:00:00,Completed
DT-DEMO-000096,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9231-BB,Bushra Butt,2023-04-10 05:00:00,Scheduled
DT-DEMO-000097,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-7266-AC,Kamran Gill,2023-04-11 09:00:00,In Transit
DT-DEMO-000098,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2393-DE,Sana Mirza,2023-04-11 09:00:00,Completed
DT-DEMO-000099,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-3315-AD,Irfan Khan,2023-04-11 09:00:00,In Transit
DT-DEMO-000100,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4079-AB,Fahad Siddiqui,2023-04-11 09:00:00,Completed
DT-DEMO-000101,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2083-BD,Samina Rana,2023-04-12 05:00:00,Completed
DT-DEMO-000102,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1107-BE,Tariq Gill,2023-04-12 06:00:00,Completed
DT-DEMO-000103,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4553-ED,Waqar Javed,2023-04-12 05:00:00,Completed
DT-DEMO-000104,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2111-EE,Waqar Dar,2023-04-13 06:00:00,Completed
DT-DEMO-000105,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-5043-DD,Farah Khan,2023-04-13 07:00:00,Scheduled
DT-DEMO-000106,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Saima Mirza,2023-04-13 08:00:00,Completed
DT-DEMO-000107,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Farah Khan,2023-04-13 08:00:00,Completed
DT-DEMO-000108,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-5043-DD,Fatima Aslam,2023-04-14 06:00:00,In Transit
DT-DEMO-000109,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-3727-DC,Alina Hassan,2023-04-15 09:00:00,In Transit
DT-DEMO-000110,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Amir Dar,2023-04-15 06:00:00,In Transit
DT-DEMO-000111,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-9269-AB,Sana Mirza,2023-04-15 06:00:00,Scheduled
DT-DEMO-000112,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-9784-EA,Usman Qureshi,2023-04-15 07:00:00,Completed
DT-DEMO-000113,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-1735-BB,Waqar Dar,2023-04-16 05:00:00,Completed
DT-DEMO-000114,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3799-CE,Alina Hassan,2023-04-16 08:00:00,Completed
DT-DEMO-000115,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-3315-AD,Sana Ahmed,2023-04-17 07:00:00,Completed
DT-DEMO-000116,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-3024-AA,Usman Hassan,2023-04-17 06:00:00,Completed
DT-DEMO-000117,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7262-EE,Nadia Gill,2023-04-17 10:00:00,Completed
DT-DEMO-000118,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-6507-AD,Usman Sheikh,2023-04-17 06:00:00,Completed
DT-DEMO-000119,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9814-BB,Tariq Gill,2023-04-18 08:00:00,Completed
DT-DEMO-000120,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-2111-EE,Farah Khan,2023-04-18 05:00:00,Scheduled
DT-DEMO-000121,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-1352-AB,Naeem Rana,2023-04-18 07:00:00,Completed
DT-DEMO-000122,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-2477-CC,Alina Hassan,2023-04-19 05:00:00,Completed
DT-DEMO-000123,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Sana Mirza,2023-04-19 10:00:00,In Transit
DT-DEMO-000124,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8514-DD,Irfan Khan,2023-04-19 08:00:00,Scheduled
DT-DEMO-000125,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8514-DD,Samina Rana,2023-04-20 08:00:00,Completed
DT-DEMO-000126,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8514-DD,Zara Dar,2023-04-20 05:00:00,Completed
DT-DEMO-000127,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9814-BB,Bilal Sharif,2023-04-21 07:00:00,Completed
DT-DEMO-000128,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3502-DC,Naeem Rana,2023-04-21 08:00:00,Completed
DT-DEMO-000129,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Tariq Gill,2023-04-21 06:00:00,Completed
DT-DEMO-000130,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-8808-BE,Waqar Javed,2023-04-21 09:00:00,Completed
DT-DEMO-000131,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7776-DC,Sana Mirza,2023-04-22 06:00:00,Completed
DT-DEMO-000132,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-4245-DD,Farah Malik,2023-04-22 10:00:00,In Transit
DT-DEMO-000133,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-1735-BB,Kiran Hussain,2023-04-23 05:00:00,In Transit
DT-DEMO-000134,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3502-DC,Fahad Qureshi,2023-04-23 06:00:00,Scheduled
DT-DEMO-000135,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-9784-EA,Irfan Khan,2023-04-24 07:00:00,Completed
DT-DEMO-000136,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-6507-AD,Salman Dar,2023-04-25 10:00:00,In Transit
DT-DEMO-000137,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-1483-CD,Nadia Gill,2023-04-25 05:00:00,Completed
DT-DEMO-000138,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-4245-DD,Waqar Javed,2023-04-25 07:00:00,Completed
DT-DEMO-000139,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3502-DC,Farah Malik,2023-04-26 06:00:00,Completed
DT-DEMO-000140,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-4079-AB,Kashif Malik,2023-04-29 05:00:00,Scheduled
DT-DEMO-000141,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Sana Mirza,2023-04-29 10:00:00,Scheduled
DT-DEMO-000142,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1893-BE,Alina Hassan,2023-04-29 06:00:00,Completed
DT-DEMO-000143,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-9814-BB,Fatima Aslam,2023-04-29 07:00:00,Completed
DT-DEMO-000144,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-6507-AD,Bushra Butt,2023-04-29 05:00:00,Completed
DT-DEMO-000145,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-5025-EE,Mehreen Qureshi,2023-04-30 10:00:00,Completed
DT-DEMO-000146,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Zara Dar,2023-04-30 06:00:00,Scheduled
DT-DEMO-000147,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9231-BB,Salman Qureshi,2023-04-30 10:00:00,Completed
DT-DEMO-000148,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7348-DD,Amir Dar,2023-05-01 09:00:00,In Transit
DT-DEMO-000149,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-3799-CE,Nadia Gill,2023-05-01 07:00:00,Completed
DT-DEMO-000150,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-7266-AC,Saima Aslam,2023-05-01 08:00:00,Completed
DT-DEMO-000151,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-1840-DC,Saima Mirza,2023-05-01 05:00:00,Completed
DT-DEMO-000152,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-2823-CD,Amir Dar,2023-05-02 09:00:00,Completed
DT-DEMO-000153,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-8400-AE,Nadia Gill,2023-05-02 06:00:00,Completed
DT-DEMO-000154,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-9784-EA,Adnan Chaudhry,2023-05-02 05:00:00,Completed
DT-DEMO-000155,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9212-CA,Muhammad Dar,2023-05-02 10:00:00,Completed
DT-DEMO-000156,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-7694-AC,Saima Malik,2023-05-03 08:00:00,In Transit
DT-DEMO-000157,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,LE-9212-CA,Salman Akhtar,2023-05-05 10:00:00,Completed
DT-DEMO-000158,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,RW-2477-CC,Salman Qureshi,2023-05-05 10:00:00,In Transit
DT-DEMO-000159,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,ML-3960-AB,Kamran Gill,2023-05-06 07:00:00,Completed
DT-DEMO-000160,MAT-DT-.YYYY.-,EnXi Biomedical & Waste Management (Pvt) Ltd,FD-5590-BB,Bushra Malik,2023-05-06 06:00:00,Scheduled
